category,main_category,state,backers,country,usd_pledged_real,usd_goal_real,project_time
Performance Art,Art,failed,4,FR,100.35,826.42,59
Games,Games,canceled,0,US,0,15000,29
Film & Video,Film & Video,failed,0,CA,0,35895.66,28
Theater,Theater,successful,115,US,10046,9000,28
Games,Games,successful,52,US,1620,1500,29
Publishing,Publishing,failed,0,US,0,3500,31
Video Games,Games,successful,7,US,165,150,29
Documentary,Film & Video,failed,0,US,0,5250,29
Video Games,Games,failed,1,US,1,300000,59
Ceramics,Art,successful,94,US,4386,3000,13
Pop,Music,failed,7,US,170,2000,51
Children's Books,Publishing,failed,4,US,91,3000,44
Crafts,Crafts,failed,0,US,0,7000,23
Vegan,Food,successful,52,US,2164.77,2000,37
Playing Cards,Games,successful,56,US,1207,750,29
Comics,Comics,successful,105,US,2585,2000,47
Publishing,Publishing,successful,26,US,1500,1500,28
Food,Food,successful,161,US,30066,25000,34
Art Books,Publishing,canceled,1,US,25,15000,20
Playing Cards,Games,failed,6,US,176,5000,14
Dance,Dance,successful,21,US,1205,1200,4
Product Design,Design,successful,15,US,218,150,19
Poetry,Publishing,failed,1,GB,30.3,6060.97,29
Fiction,Publishing,failed,1,US,1,500,19
Indie Rock,Music,failed,0,US,0,1000,59
Product Design,Design,failed,21,US,1736,75000,44
Rock,Music,failed,0,US,0,5500,29
Film & Video,Film & Video,successful,27,US,1612,1500,29
Graphic Novels,Comics,failed,23,AU,623.55,13490.22,29
Photography,Photography,failed,2,US,35,17000,59
Comics,Comics,successful,97,US,5965.5,5150,39
Fabrication Tools,Technology,successful,57,US,5000,5000,29
Documentary,Film & Video,successful,383,US,22421,20000,29
Comedy,Film & Video,successful,36,GB,1825.79,685.74,29
Restaurants,Food,failed,13,US,1600,100000,27
Film & Video,Film & Video,successful,88,US,6614,5500,29
Public Art,Art,successful,26,US,7259,5000,35
Tabletop Games,Games,canceled,52,US,745,1000,30
Restaurants,Food,failed,0,US,0,25000,29
Art,Art,failed,0,US,0,5000,59
Performances,Dance,failed,4,US,160,450,30
Photography,Photography,successful,30,CA,1364.34,369.74,44
Hardware,Technology,failed,7,US,107,3500,29
Food,Food,failed,2,US,50,22500,29
Sculpture,Art,failed,4,US,52,5000,44
Documentary,Film & Video,failed,0,GB,0,3326.62,29
Mobile Games,Games,canceled,71,US,18431,25000,37
Fiction,Publishing,successful,14,US,1067,350,29
Software,Technology,successful,184,GB,11335.49,8711.08,30
Video Games,Games,failed,14,US,686,12000,29
Drinks,Food,failed,62,US,12024,28000,36
Performances,Dance,successful,47,US,1900,1500,29
Pop,Music,successful,195,US,11713,10000,29
Documentary,Film & Video,failed,0,GB,0,12966.8,39
Rock,Music,successful,65,US,10328,10000,24
Fashion,Fashion,successful,7,DE,2282.32,2250.81,15
Accessories,Fashion,failed,25,DE,952.04,11134.99,41
Product Design,Design,failed,50,FR,4264.68,62575.57,45
Animation,Film & Video,failed,15,US,1186.69,2500,29
Games,Games,failed,3,US,45,800,59
Shorts,Film & Video,failed,9,US,310,2000,19
Film & Video,Film & Video,failed,1,US,50,3397.98,29
Rock,Music,successful,52,US,2415,2200,29
Art,Art,successful,55,US,3125,3000,60
Documentary,Film & Video,failed,34,US,1765,10000,44
Documentary,Film & Video,failed,1,US,100,5000,30
Animation,Film & Video,successful,19,GB,376.94,194.7,20
Family,Film & Video,successful,43,US,3585,3500,30
Film & Video,Film & Video,failed,18,US,733,40000,29
Art,Art,successful,21,US,1145,1000,17
Accessories,Fashion,failed,36,US,3238,10000,33
Painting,Art,failed,9,US,1152,30000,29
Sound,Technology,successful,2278,US,227673,25000,44
Public Art,Art,successful,177,US,11511.1,10000,19
Comic Books,Comics,successful,75,US,2611,2500,35
Fiction,Publishing,failed,6,GB,42.81,64.87,29
Product Design,Design,failed,32,US,1076,9225,29
Nonfiction,Publishing,successful,31,US,2510,2200,29
Sculpture,Art,successful,23,US,708,550,29
Apparel,Fashion,failed,1,IT,1.14,22824.02,39
Food,Food,failed,29,US,1278,3500,29
Music,Music,failed,10,US,625,1300,17
Stationery,Crafts,successful,39,AU,709.07,175.69,14
Narrative Film,Film & Video,successful,42,US,3863.37,2500,20
Nonfiction,Publishing,canceled,6,GB,85.39,1552.55,29
Apparel,Fashion,failed,9,US,247,1500,16
Film & Video,Film & Video,successful,17,GB,711.71,531.98,23
Narrative Film,Film & Video,failed,8,US,171,9000,39
Public Art,Art,successful,107,US,5263,4500,32
Video Games,Games,canceled,3,US,60,10000,14
Children's Books,Publishing,failed,9,US,272,3800,29
Print,Journalism,successful,33,US,1804,1500,25
Tabletop Games,Games,successful,130,US,7782,7000,44
Farmer's Markets,Food,failed,2,CA,5.5,13.76,29
Video Games,Games,canceled,1,NO,0.58,5767.28,59
Fashion,Fashion,failed,0,US,0,5000,29
Thrillers,Film & Video,failed,10,US,810,7000,59
Video Games,Games,canceled,28,NL,1100.86,16031.98,29
Product Design,Design,successful,1127,US,41759,7500,27
Theater,Theater,successful,53,US,2308.5,1971,32
Photography,Photography,failed,2,GB,42.19,33751.86,34
Product Design,Design,failed,35,US,2670,5350,13
Art,Art,successful,85,GB,16225.19,16038.88,29
Events,Food,successful,17,GB,524.38,385.58,29
Animation,Film & Video,failed,0,US,0,5000,29
Tabletop Games,Games,successful,102,US,14414,10000,29
Video Games,Games,successful,17,US,2348,2000,20
Fashion,Fashion,successful,51,US,2190,1750,17
Poetry,Publishing,failed,6,US,325,2000,29
Classical Music,Music,failed,4,US,40,2250,29
Food Trucks,Food,failed,0,US,0,2000,14
Photography,Photography,failed,71,US,10820,60000,59
Drinks,Food,successful,172,US,25816,25000,29
Apps,Technology,canceled,5,AU,976.08,29018.64,30
Art,Art,failed,0,DE,0,233081.22,59
Music,Music,undefined,0,undefined,3402.08,3211.53,20
Shorts,Film & Video,successful,17,AU,649.89,192.96,24
Hardware,Technology,successful,5946,US,4236618.49,200000,44
Public Art,Art,successful,102,US,5080.2,4800,29
Fiction,Publishing,failed,0,US,0,7000,29
Ceramics,Art,failed,1,US,100,8000,39
Fashion,Fashion,failed,12,GB,447.8,2407.55,30
Metal,Music,failed,1,MX,0.53,371.71,49
Photography,Photography,successful,20,US,6022,6000,44
Shorts,Film & Video,successful,96,CA,7897.6,7033.01,29
Apparel,Fashion,failed,6,US,1591,20000,59
Graphic Design,Design,failed,0,AU,0,140.55,29
Publishing,Publishing,failed,1,IT,10.76,1076403.09,59
Drinks,Food,successful,145,US,15018,15000,29
Fiction,Publishing,canceled,0,US,0,4500,44
Documentary,Film & Video,failed,13,US,785,15000,59
Comics,Comics,failed,2,US,50,65000,29
Apps,Technology,failed,0,US,0,8500,59
Fashion,Fashion,failed,7,GB,209.1,909.15,29
Product Design,Design,successful,75,US,13757,999,29
Comedy,Film & Video,successful,192,US,15040.33,15000,30
Web,Technology,failed,0,US,0,9000,29
Performances,Dance,failed,1,US,5,3000,16
Music,Music,successful,138,US,7453,7000,27
Spaces,Food,failed,9,IT,195.73,21159.99,29
Indie Rock,Music,successful,80,GB,4208.17,3103.37,52
Documentary,Film & Video,successful,665,US,66554.56,50000,59
Gadgets,Technology,canceled,22,US,5650,50000,34
Rock,Music,failed,4,US,130,15000,49
Indie Rock,Music,failed,4,US,80,2000,86
Rock,Music,failed,19,US,1005,3500,29
Film & Video,Film & Video,failed,0,US,0,10000,45
Design,Design,successful,207,US,8952.22,7000,29
Country & Folk,Music,failed,4,US,140,5000,15
Art,Art,failed,0,US,0,500,20
Fashion,Fashion,successful,3,US,566,1,29
Apps,Technology,failed,0,US,0,500,59
Wearables,Technology,successful,287,IE,38421.55,5934.01,10
Product Design,Design,failed,4,US,326,40000,22
Apps,Technology,failed,0,US,0,1000,29
Webseries,Film & Video,failed,0,US,0,500000,59
Photobooks,Photography,successful,167,US,18625,18000,36
Comics,Comics,failed,1,US,1,1000,29
Shorts,Film & Video,successful,18,US,1072,800,26
Tabletop Games,Games,failed,76,US,4636,6000,59
Indie Rock,Music,failed,2,CA,41.8,2868.85,44
Product Design,Design,suspended,647,US,39693,25000,39
Tabletop Games,Games,successful,1053,US,37522,19400,17
Gadgets,Technology,failed,0,CA,0,31343.05,59
Narrative Film,Film & Video,successful,32,US,12857,12500,44
Food,Food,successful,125,US,3712,2500,29
Nonfiction,Publishing,failed,40,US,3775,28000,59
Shorts,Film & Video,successful,25,US,600,500,34
Art,Art,successful,118,US,7498.77,5500,29
Nonfiction,Publishing,failed,0,US,0,25000,59
Painting,Art,successful,26,NZ,8226.9,8103.49,38
Documentary,Film & Video,failed,12,US,296,4000,33
Documentary,Film & Video,failed,9,US,756,20000,29
Product Design,Design,canceled,7,AU,163.07,11272.26,34
Tabletop Games,Games,successful,182,US,9125,7500,33
Hip-Hop,Music,successful,54,US,1221,1000,29
Shorts,Film & Video,successful,148,US,25712,25000,44
Nonfiction,Publishing,failed,1,GB,17.98,49034.03,29
Indie Rock,Music,successful,145,US,8739.01,7500,30
Drama,Film & Video,failed,2,GB,56.3,4926.39,42
Shorts,Film & Video,successful,20,US,865,750,26
Documentary,Film & Video,failed,6,US,91,1000,29
Music,Music,failed,1,US,100,7000,29
Comics,Comics,failed,3,US,20,5000,29
Mixed Media,Art,canceled,0,US,0,2000,35
Journalism,Journalism,failed,9,US,227,1287,29
Tabletop Games,Games,canceled,1,GB,54.67,4251.91,59
Dance,Dance,successful,63,US,6000,6000,29
Photobooks,Photography,successful,61,US,10290,10000,29
Shorts,Film & Video,successful,14,US,2575,2500,24
Food,Food,failed,0,GB,0,24051.18,44
Gadgets,Technology,canceled,4,GB,1525.47,2673502.45,59
Shorts,Film & Video,successful,116,US,8294.63,7500,44
Rock,Music,successful,14,US,815,800,49
Apps,Technology,failed,6,US,30,15000,29
Comics,Comics,failed,6,US,320,60000,59
Product Design,Design,failed,23,US,935,15000,29
Product Design,Design,successful,2789,US,87207.5,18000,34
Nonfiction,Publishing,failed,0,US,0,2000,19
Illustration,Art,failed,8,US,185,2500,29
Fashion,Fashion,failed,21,US,1034,20000,29
Apparel,Fashion,failed,0,US,0,500,29
Documentary,Film & Video,failed,44,US,2935,10000,39
Apparel,Fashion,successful,213,GB,27208.27,26754.78,30
Mixed Media,Art,failed,29,US,1189,3000,29
Comic Books,Comics,successful,149,US,3318,550,20
Poetry,Publishing,failed,2,US,101,10000,29
Movie Theaters,Film & Video,failed,5,GB,60.9,259.93,42
Shorts,Film & Video,failed,5,US,165,3000,34
Documentary,Film & Video,successful,116,GB,8932.68,8868.68,29
Narrative Film,Film & Video,failed,16,US,1185,25000,29
Food,Food,successful,133,US,6510,5500,20
Nonfiction,Publishing,failed,2,GB,51.36,19261.39,29
Product Design,Design,failed,69,US,9123,35000,39
Nonfiction,Publishing,failed,2,US,80,3000,39
Documentary,Film & Video,successful,106,US,14875,14500,59
Technology,Technology,successful,27,US,17771,10000,44
Games,Games,canceled,0,US,0,6055,44
Product Design,Design,successful,244,US,20563,20000,30
Shorts,Film & Video,canceled,1,US,10,600,16
Animals,Photography,failed,27,US,797,3000,15
Painting,Art,failed,2,US,161,350,12
Art,Art,successful,76,US,4600,4000,29
Product Design,Design,failed,18,CA,734.81,6214.07,29
Product Design,Design,failed,16,IT,561.07,171405.06,44
Fiction,Publishing,failed,0,US,0,200,29
Illustration,Art,failed,2,GB,93.49,322.39,12
Comic Books,Comics,successful,50,US,947,800,20
Food,Food,successful,160,US,16656,15000,29
Apparel,Fashion,failed,0,US,0,1500,29
Digital Art,Art,successful,46,US,3005.33,3000,29
Rock,Music,failed,4,US,200,3000,33
Theater,Theater,failed,21,US,1810,6500,44
Art,Art,failed,0,US,0,4000,14
Journalism,Journalism,successful,27,US,3184,2500,30
Country & Folk,Music,successful,152,US,5075,20,32
Documentary,Film & Video,failed,0,US,0,22000,29
Jazz,Music,successful,106,US,9137,8000,36
Rock,Music,failed,0,US,0,400,29
Children's Books,Publishing,successful,51,US,2522,2000,39
Nonfiction,Publishing,failed,5,US,113,3021,14
Tabletop Games,Games,failed,191,US,7069,25000,29
Hardware,Technology,failed,34,US,3877,15000,29
Fiction,Publishing,failed,4,GB,51.91,25956.16,58
Product Design,Design,successful,31,US,838.01,500,29
Horror,Film & Video,live,11,GB,563.32,1159.38,17
Photography,Photography,canceled,0,GB,0,457.02,49
Web,Technology,failed,4,US,410,18000,34
Performance Art,Art,failed,9,US,1250,25000,29
Shorts,Film & Video,failed,1,US,10,600,19
Playing Cards,Games,failed,6,GB,104.76,6547.5,29
Painting,Art,failed,0,US,0,1100,29
Art,Art,successful,32,US,10050,10000,44
Software,Technology,failed,1,US,1,98000,37
Documentary,Film & Video,failed,21,US,691,7500,44
Art,Art,failed,4,US,33,5000,29
Fiction,Publishing,canceled,5,US,375,16000,59
Dance,Dance,successful,30,US,3520,3500,11
Knitting,Crafts,successful,38,US,2025,2000,15
Mobile Games,Games,canceled,1,DE,1.12,2240.39,20
Webseries,Film & Video,successful,40,US,2708,2500,9
Hip-Hop,Music,failed,0,US,0,2000,29
Video Games,Games,successful,1258,US,20709.5,10200,29
Art Books,Publishing,successful,136,US,17563,16000,21
Rock,Music,successful,240,US,12413,2500,20
Graphic Design,Design,failed,5,US,341,700,29
Nonfiction,Publishing,failed,0,US,0,15000,29
Small Batch,Food,canceled,2,US,275,5500,29
Comic Books,Comics,successful,89,GB,1713.93,312.48,44
Sculpture,Art,successful,23,US,1745,500,55
Installations,Art,failed,0,US,0,1000,29
Film & Video,Film & Video,successful,60,US,4279,4000,13
Documentary,Film & Video,failed,6,US,131,5000,29
Apparel,Fashion,failed,54,US,1383,13500,29
Tabletop Games,Games,failed,120,CA,3189.75,8036.65,29
Illustration,Art,successful,58,US,2455,2300,29
Film & Video,Film & Video,successful,43,US,3606,3250,15
Games,Games,failed,8,US,345,22500,29
Food,Food,failed,0,AU,0,3835.01,29
Film & Video,Film & Video,successful,40,US,5975,5000,29
Fashion,Fashion,canceled,29,US,1525,50000,29
Technology,Technology,canceled,103,US,61416,5000,44
Tabletop Games,Games,successful,622,US,91972.5,25000,19
Film & Video,Film & Video,failed,9,US,200,5000,29
Film & Video,Film & Video,failed,0,US,0,50000,59
Video Games,Games,canceled,4,US,31,6000,29
Young Adult,Publishing,successful,7,US,525,500,49
Restaurants,Food,failed,0,US,0,25000,29
DIY,Crafts,failed,1,US,20,2750,29
Country & Folk,Music,successful,96,US,3100,2500,24
Community Gardens,Food,failed,4,AU,38.98,637.89,29
Theater,Theater,failed,0,US,0,5000,24
Pop,Music,successful,60,US,3000,3000,31
Documentary,Film & Video,failed,13,US,377,10000,29
Drinks,Food,successful,32,CH,4009.53,2403.42,29
Painting,Art,canceled,1,US,50,7000,29
Documentary,Film & Video,successful,66,US,11001,5500,22
DIY Electronics,Technology,successful,298,US,23447,10000,29
Shorts,Film & Video,failed,0,US,0,3000,29
Tabletop Games,Games,successful,26,US,501,500,29
Crafts,Crafts,successful,1,US,120,120,29
Apps,Technology,failed,71,US,895,45000,44
Shorts,Film & Video,successful,35,GB,5145.77,4545.73,28
Technology,Technology,successful,236,US,41136.55,25000,29
Indie Rock,Music,successful,59,US,5189,5000,32
Painting,Art,canceled,0,GB,0,12363.38,34
Video Games,Games,failed,1,GB,4.66,388.4,29
Documentary,Film & Video,successful,251,US,15435.55,13000,39
Sculpture,Art,failed,12,US,660,2500,29
Technology,Technology,failed,6,AU,904.99,7269.03,30
Poetry,Publishing,failed,3,CA,41.66,757.52,29
Metal,Music,successful,85,GB,2840.3,2272.24,12
Wearables,Technology,failed,7,US,590,150000,29
Embroidery,Crafts,failed,2,AT,32.83,3706.14,29
Film & Video,Film & Video,failed,0,US,0,5000,59
Product Design,Design,failed,34,SE,4579.92,190666.32,28
Music,Music,failed,0,US,0,500,29
Documentary,Film & Video,failed,25,US,4370,12000,59
Art,Art,canceled,0,US,0,2600,59
Music,Music,successful,9,CA,18.12,0.91,29
Comics,Comics,successful,226,US,9047,4000,34
Graphic Design,Design,failed,16,US,926,15000,44
Theater,Theater,successful,8,US,1010,900,29
Video Games,Games,failed,2,FR,13.73,792.38,47
Film & Video,Film & Video,live,1,US,5,2000,59
Tabletop Games,Games,canceled,91,AU,3967.51,8780.92,27
DIY Electronics,Technology,successful,88,CA,2179.85,718.24,59
Public Art,Art,successful,1711,US,116655.41,100000,36
Music,Music,successful,694,US,61315,57000,21
Product Design,Design,failed,2,US,35,5000,29
Painting,Art,failed,19,US,1040,4000,49
Illustration,Art,live,0,MX,0,52.32,15
Product Design,Design,successful,1822,US,129311,50000,29
Product Design,Design,successful,264,US,24428,14000,29
Product Design,Design,failed,89,AU,10556.66,57112.4,42
Illustration,Art,successful,141,GB,3308.01,1296.24,56
Product Design,Design,failed,40,IE,2589.3,39045.94,39
Music,Music,successful,37,US,2037.19,2000,29
Video Games,Games,successful,942,US,90715,89999,34
Apps,Technology,failed,0,US,0,10000,59
Webseries,Film & Video,failed,41,US,1448,7000,59
Comedy,Film & Video,successful,65,US,5772.15,5000,29
Hardware,Technology,successful,426,US,31275.6,25000,30
Shorts,Film & Video,failed,0,US,0,1500,29
Restaurants,Food,successful,167,GB,16261.68,14403.62,29
Food,Food,failed,14,US,596,34000,39
Graphic Design,Design,failed,1,US,1,1400,28
Music,Music,failed,0,US,0,300000,29
